"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"Keto-3-deoxy-d-manno-octulosonic acid","5493_neg","Keto-3-deoxy-d-manno-octulosonic acid",0.22,19.28,NA,"Unknown","null","Keto-3-deoxy-D-manno-octulosonic acid;Acefylline;2-Keto-3-Deoxy-D-Mannooctanoic Acid;Furapyrimidone;Rufinamide","C01187","HMDB0244292;HMDB0247895;HMDB0250768;HMDB0252532;HMDB0257362","NA;NA;NA;NA;NA","817;69550;4636210;114738;NA","NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"Kynurenic acid","3101_neg","Kynurenic acid",0.82,470.98,"Quinoline carboxylic acids","no MS2: Kynurenic acid; LC-ESI-QTOF; MS2; CE","C10H7NO3","Kynurenic acid;2-Hydroxyquinoline-3-carboxylic acid;4-Oxo-1,4-dihydroquinoline-3-carboxylic acid;alpha-Cyano-4-hydroxycinnamate","C01717","HMDB0000715;HMDB0245167;HMDB0246559;HMDB0248196","18344;NA;NA;NA","3845;332488;220875;2102","38234;NA;NA;NA","HCZHHEIFKROPDY-UHFFFAOYSA-N","OC(=O)C1=CC(=O)C2=CC=CC=C2N1",TRUE,TRUE,"Quinoline carboxylic acids","Quinolines and derivatives","Quinoline carboxylic acids"
"L-allothreonine","634_pos","L-allothreonine",0.87,1286.44,NA,"L-ALLOTHREONINE","null",NA,NA,NA,NA,NA,NA,"null","null",TRUE,TRUE,NA,NA,NA
"L-arginine","2694_pos","L-arginine",0.96,5604.51,"L-alpha-amino acids","no MS2: Arginine; LC-ESI-QTOF; MS2; CE","C6H14N4O2","L-Arginine;Adipic dihydrazide;DL-Arginine;2-Amino-4-[carbamimidoyl(methyl)amino]butanoic acid","C00062;C02385","HMDB0000517;HMDB0248014;HMDB0251511;HMDB0255374","16467;NA;29016;NA","6322;NA;232;91104386","33707;NA;NA;NA","ODKSFYDXXFIFQN-UHFFFAOYNA-N","NC(CCCNC(N)=N)C(O)=O",TRUE,TRUE,NA,NA,NA
"L-aspartate","1130_pos","L-aspartate",0.56,107.03,NA,"L-ASPARTATE","null",NA,NA,NA,NA,NA,NA,"null","null",TRUE,TRUE,NA,NA,NA
"L-aspartic acid","1022_neg","L-aspartic acid",0.87,132.81,NA,"D-ASPARTATE","null","L-Aspartic acid;D-Aspartic acid;Iminodiacetic acid","C00049;C00402;C19911","HMDB0000191;HMDB0006483;HMDB0011753","17053;17364;24786","5960;83887;8897","33663;34874;NA","null","null",TRUE,TRUE,NA,NA,NA
"L-citrulline","2735_pos","L-citrulline",0.87,2933.28,NA,"L-Citrulline","null",NA,NA,NA,NA,NA,NA,"null","null",TRUE,TRUE,NA,NA,NA
"L-cystathionine","4702_neg","L-cystathionine",0.87,27.37,"L-cysteine-S-conjugates","no MS2: L(+)-Cystathionine; LC-ESI-QTOF; MS2; CE","C7H14N2O4S","L-Cystathionine;1-Methylanthraquinone;4-Phenylcoumarin;Acetamiprid;Aldoxycarb;anthracene-9-carboxylic acid;Aurone;Isoflavone","C02291;C13699;C00799","HMDB0000099;HMDB0243936;HMDB0246573;HMDB0247906;HMDB0248127;HMDB0248461;HMDB0248733;HMDB0253637","17482;NA;71972;39163;NA;34507;NA;18220","439258;70379;613729;213021;15438;2201;613552;72304","39523;NA;NA;NA;NA;NA;NA;NA","ILRYLPWNYFXEMH-WHFBIAKZSA-N","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O",TRUE,TRUE,NA,NA,NA
"L-cystine","5798_pos","L-cystine",0.87,834.28,NA,"Cystine","null","L-Cystine;Cystine","C00491;C01420","HMDB0000192;HMDB0250712","16283;17376","67678;595","35134;NA","null","null",TRUE,TRUE,NA,NA,NA
"L-dopa","3640_pos","L-dopa",0.64,24.19,"Tyrosine and derivatives","no MS2: DOPA; LC-ESI-ITFT; MS2; m/z","C9H11NO4","L-Dopa;DL-Dopa","C00355","HMDB0000181;HMDB0000609","15765;49168","6047;NA","34719;NA","WTDRDQBEARUVNC-LURJTMIESA-N","N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O",TRUE,TRUE,NA,NA,NA
