"","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17"
"1,2,3-trihydroxybenzene",15.8580771922463,15.2345365712237,15.4205506462817,15.7424395221075,15.1825013853474,15.3182747196783,15.4687952363029,15.2164970248367,14.8744937310138,14.8073054901697,15.3111872935793,14.6876678961733,15.3216852321283,14.9747142848673,14.904346394129,15.0924788641331,14.8959266102513
"1,2-benzenedithiol",12.0260021841215,12.1185439567145,12.6732770526916,11.8139510744074,12.6608552740045,11.8511823516987,12.0623586982685,11.3313054776033,11.8560373123994,11.8359799509107,12.0461617866203,11.8886523719927,12.1320728746076,11.5886317966394,11.8744257520374,11.7742437508622,11.4811157372719
"1,3,7-trimethyluric acid",11.5265697932291,12.8147654550738,13.8308459535995,12.9605902274724,13.1388032680257,12.6221261931621,12.7096887088435,13.1059024290641,12.8645021767846,13.2628650221143,13.2350495554789,13.5168067723506,13.4759102404122,12.7254116524072,13.3477168412307,12.507233741868,13.3224422669075
"1,3-dimethyluric acid",12.0381790316536,12.1614272396856,12.3207845232194,12.0345049202078,13.0482341057191,11.9234820935043,11.8480749075033,11.3776682816553,13.1502111656565,12.2692300876451,12.2150482385019,11.5197953150464,12.3759174759393,13.1703420700323,11.6147175085942,11.5481746960253,11.6639409670767
"1,4-diacetoxy-2,3-dicyanobenzene",12.8883645475817,12.4220456450814,13.0356322182917,12.9453676590622,12.6984421568083,13.3535170863603,12.7631476164123,12.9365176355158,13.3374784108083,12.829712420864,12.4693050240618,11.9900451585409,13.1664890365586,13.6131634426502,12.8201940545368,13.4771930836219,13.0789864785241
"1,4-diamino-2,3-dicyano-1,4-bis(o-aminophenylmercapto)butadiene",11.5493019860019,13.2006297797874,12.0775586749789,14.7216617029871,12.9845987821164,13.7394783181679,13.0089334558103,13.1985527999588,13.1014205673743,13.5618741261675,11.4276174462954,12.9152797095861,12.9108684373611,11.3293484523715,13.4549553691286,13.1608549990517,11.1448034244225
"1,5-benzothiazepin-4(5h)-one, 2,3-dihydro-3-hydroxy-2-(4-methoxyphenyl)-5-(2-(methylamino)ethyl)-, (2s,3s)-",12.5759791668351,12.8968256105006,12.9429205469616,13.2863015120448,13.2496201246211,13.0041255998291,12.9513483329898,12.4594267118944,12.9864513134309,12.7969693985662,11.8187700341078,12.9441863635961,11.890333374048,13.0821261621538,13.5616485791584,12.9213171514723,11.6826971415967
"1,n6-ethenoadenosine",12.3697045059635,11.8411917999377,12.3991336365381,11.3999231517187,11.3511731913451,11.2260589297301,11.5733797374195,11.9713690388431,12.7307990997367,11.909663852361,12.5851767338619,12.6427593591595,11.4174830703157,11.8949557188879,12.5970623881075,11.7769406578892,12.4121305917398
"1-((1-(4-chlorophenyl)-1h-1,2,3-triazol-4-yl)methyl)-4-phenylpiperazine",11.9057184140875,11.9070961636,11.9040316523191,11.9016246691178,11.9063821889834,11.9054624458787,11.9036736341763,11.9054117236159,11.905104939158,11.9026496758598,11.9036228211957,11.8985433368381,11.9067392399431,11.9005476424977,11.8998799863848,11.9046965462076,11.9070455240484
"1-(1-methylindol-5-yl)-3-(3-methyl-1,2-thiazol-5-yl)urea",14.2184745822806,13.7763998857845,13.1556883450703,14.3025164060176,13.2414747900657,13.7196073908724,13.3803637485698,14.5155493822751,14.1184893528214,12.4266356540419,15.0464053914569,14.9377044709717,14.1272687529025,14.8907500571748,14.3855434497929,14.2949980855868,14.2694681868256
"1-(1-naphthyl)ethyl isocyanate",13.2332323174217,12.6400730984629,13.2346843530459,12.8084481211161,13.4546969921167,13.133091405866,12.770051842803,13.0614686752281,12.6380620735179,13.7682480654809,13.4903373114955,13.7191059593978,13.564784518301,13.3858711742075,13.6752213717635,12.9767855918191,13.4219061092654
"1-(1-phenylcyclohexyl)-3-methylpiperidine",13.4362491713421,14.4276912331598,15.0224632218814,14.4969862066534,14.791398577619,13.7836787357596,14.2964813009617,14.5666964216669,14.3390475986038,13.3448560737424,15.0536896254509,14.4904816608421,14.936401455338,14.1423016538404,14.5350568647867,13.9983877801594,15.140849877049
"1-(2,4-dichlorobenzyl)-1h-indazole-3-carbohydrazide",11.8046918379317,11.1893189438546,11.593949362651,11.7237242998447,11.2281962991964,12.1828740822044,11.6777959567355,11.0635181666653,11.6520971042443,12.8127115763545,11.7396957720109,11.8688298694273,11.7979917370357,11.6577597829191,11.898827875827,11.720514537908,10.9215066349116
"1-(3-(4-phenylbenzyl)-4-hydroxychroman-7-yl)cyclopentane-1-carboxylic acid",11.713004942849,11.7190188839431,11.7171463231723,11.7155268391675,11.7155268391675,11.7227535351034,11.713133533704,11.7113787432361,11.7186353227438,11.7266011852567,11.7188910465303,11.7244885264179,11.7115075430297,11.7113787432361,11.7227535351034,11.7175304549126,11.7157833577488
"1-(4-chlorophenyl)-3-((4-methylphenyl)sulfonyl)urea",12.8329985371363,12.8314742986191,12.8347737833571,12.8314736899522,12.8327444560106,12.8324900062978,12.833506202115,12.8329976255261,12.8327435441688,12.8337594825488,12.8337588752709,12.8327438481162,12.8329985371363,12.8345207596849,12.8340123952966,12.8327444560106,12.8332522499393
