"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"2(n)-methyl-norsalsolinol","2888_pos","2(n)-methyl-norsalsolinol",0.31,36.6,"Tetrahydroisoquinolines","no MS2: Salsolinol; LC-ESI-QQ; MS2; CE","C10H13NO2","2(N)-Methyl-norsalsolinol;(R)-Salsolinol;alpha-Methylphenylalanine;N-methylphenylalanine;Salsolinol;Methyl l-phenylalaninate;4-Amino-3-phenylbutanoic acid;""4'-Hydroxybutyranilide"";6,7-Dihydroxy-2-aminotetralin;Arecaidine propargyl ester;D-Homophenylalanine;Fusaric acid;Phenacetin;Phenprobamate;2-(1-Phenylpropan-2-yl)-1,3,2-dioxazetidine","C09642;C09642;C10146;C07591","HMDB0001189;HMDB0005199;HMDB0029223;HMDB0029224;HMDB0042012;HMDB0245704;HMDB0246346;HMDB0246632;HMDB0248032;HMDB0248570;HMDB0250764;HMDB0252556;HMDB0256387;HMDB0256418;HMDB0257801","767276;123715;NA;NA;113;NA;NA;NA;NA;NA;NA;NA;8050;NA;NA","37764;54456;108055;NA;91588;75737;14113;66874;3153;2229;102530;NA;NA;NA;21954929","NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","IBRKLUSXDYATLG-LURJTMIESA-N","C[C@@H]1NCCC2=CC(O)=C(O)C=C12",FALSE,TRUE,NA,NA,NA
"2,2'-anhydrocytidine","4850_neg","2,2'-anhydrocytidine",0.42,123.63,NA,"Unknown","null","""2,2'-Anhydrocytidine""","","HMDB0243629","NA","279063","NA","null","null",FALSE,TRUE,NA,NA,NA
"2,2'-bithiophene","2330_pos","2,2'-bithiophene",0.22,141.28,NA,"Unknown","null","""2,2'-Bithiophene""","","HMDB0245353","36821","68120","NA","null","null",FALSE,TRUE,NA,NA,NA
"2,2,3,3-tetramethylcyclopropanecarboxamide","1359_pos","2,2,3,3-tetramethylcyclopropanecarboxamide",0.33,31.62,NA,"Unknown","null","2,2,3,3-Tetramethylcyclopropanecarboxamide;Allylisopropylacetamide;N,N,1,2-Tetramethylcyclopropane-1-carboxamide;Tropine","C02066","HMDB0246955;HMDB0248168;HMDB0257885;HMDB0259297","NA;NA;NA;NA","181152;9297;54017435;NA","NA;NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"2,2-dichloro-12-(4-chlorophenyl)dodecanoic acid","12075_neg","2,2-dichloro-12-(4-chlorophenyl)dodecanoic acid",0.73,270663.6,NA,"Unknown","null","2,2-Dichloro-12-(4-chlorophenyl)dodecanoic acid","","HMDB0249301","NA","9929731","NA","null","null",TRUE,TRUE,NA,NA,NA
"2,3,4-tri-o-acetylarabinopyranosyl isothiocyanate","9707_pos","2,3,4-tri-o-acetylarabinopyranosyl isothiocyanate",0.16,27.68,NA,"Unknown","null","2,3,4-Tri-O-acetylarabinopyranosyl isothiocyanate","","HMDB0247146","NA","3884507","NA","null","null",FALSE,TRUE,NA,NA,NA
"2,3,5,6-tetramethylpyrazine phosphate","5006_neg","2,3,5,6-tetramethylpyrazine phosphate",0.29,5.27,NA,"Unknown","null","2,3,5,6-Tetramethylpyrazine phosphate","","HMDB0245439","NA","129862857","NA","null","null",FALSE,TRUE,NA,NA,NA
"2,3-bis(3,4-dihydroxyphenyl)butanedioic acid","10052_neg","2,3-bis(3,4-dihydroxyphenyl)butanedioic acid",0.09,10.83,NA,"Unknown","null","2,3-Bis(3,4-dihydroxyphenyl)butanedioic acid","","HMDB0250004","NA","3011689","NA","null","null",TRUE,TRUE,NA,NA,NA
"2,3-butanedione monoxime","211_neg","2,3-butanedione monoxime",0.47,137.32,"Alpha amino acids","no MS2: 1-Aminocyclopropane-1-carboxylic acid; LC-ESI-QTOF; MS2; CE","C4H7NO2","2,3-Butanedione monoxime;Azetidine-1-carboxylic acid;3-Azetidinecarboxylic acid;N-(Hydroxymethyl)acrylamide;3-Nitroso-2-butanone","C19456","HMDB0245382;HMDB0246969;HMDB0248797;HMDB0255023;HMDB0257634","NA;NA;NA;NA;NA","6398969;21866494;93192;13543;53900601","NA;NA;NA;NA;NA","PAJPWUMXBYXFCZ-UHFFFAOYSA-N","NC1(CC1)C(O)=O",FALSE,TRUE,NA,NA,NA
"2,3-diaminopropionic acid","321_pos","2,3-diaminopropionic acid",0.4,20.5,NA,"Unknown","null","2,3-Diaminopropionic acid;Alanine amine;(S)-2-Hydrazinopropionic acid","C03401","HMDB0002006;HMDB0248102;HMDB0248305","16303;NA;NA","97328;18546419;122757","NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"2,3-diaminosalicylic acid","2416_pos","2,3-diaminosalicylic acid",0.87,966.26,NA,"Unknown","null","2,3-Diaminosalicylic acid;Dephostatin","","HMDB0013159;HMDB0251017","88769;NA","53481699;2990","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
